STATUS BEKERJA,UMUR,STATUS MENIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPK,STATUS KELULUSAN
1,28,0,2.69,2.5,3.07,2.83,2.7725,1
1,26,0,3.76,3.81,3.17,3.63,3.5925000000000002,0
1,24,0,3.79,3.13,3.69,3.09,3.425,0
1,23,0,2.83,2.91,2.95,2.86,2.8875,0
0,25,0,2.64,2.22,2.02,1.05,1.9825000000000002,1
1,22,0,2.86,2.86,3.25,3.25,3.0549999999999997,0
0,29,0,2.69,2.59,3.2,3.0,2.87,1
1,29,0,2.67,2.66,2.93,3.14,2.85,0
1,24,0,3.07,3.04,3.1,3.15,3.09,0
1,32,0,2.71,3.41,2.73,2.45,2.825,1
0,28,0,2.76,2.8,3.2,3.17,2.9825,1
0,26,0,3.0,3.04,2.9,3.14,3.02,1
1,25,0,2.31,2.86,2.7,2.46,2.5825,1
0,24,0,2.76,2.58,2.8,2.95,2.7725,1
0,26,0,2.95,2.53,3.32,2.88,2.92,1
1,25,0,2.36,2.0,2.07,2.27,2.175,0
1,24,0,3.31,2.73,3.11,3.04,3.0475000000000003,0
1,25,0,2.74,2.64,2.39,2.82,2.6475000000000004,0
0,28,0,2.95,2.08,3.05,2.29,2.5925000000000002,1
0,28,0,3.0,3.33,2.88,2.8,3.0025000000000004,1
1,40,0,2.83,2.64,2.89,3.14,2.8750000000000004,0
1,23,0,2.83,2.91,2.52,2.86,2.78,0
0,26,0,2.83,2.08,3.11,2.75,2.6925,1
0,24,0,2.21,2.39,2.55,2.54,2.4225,1
1,23,0,2.9,2.84,2.39,3.18,2.8275,0
0,24,0,3.0,2.38,2.84,2.68,2.7249999999999996,1
1,24,0,3.57,3.23,2.38,3.59,3.1925,0
0,27,0,2.43,3.02,3.0,2.79,2.8099999999999996,1
1,25,0,2.07,2.7,2.32,2.36,2.3625,1
0,28,0,3.0,2.5,2.7,2.41,2.6525,1
0,26,0,2.76,2.58,3.14,2.33,2.7025,1
0,29,0,2.33,2.75,2.36,2.18,2.405,1
0,27,0,2.57,2.91,2.7,2.73,2.7275,1
0,23,0,2.74,2.75,2.55,3.0,2.76,0
0,27,0,2.76,3.09,2.58,2.73,2.79,1
1,23,0,3.02,2.94,3.25,2.87,3.0200000000000005,0
1,24,0,2.98,2.75,3.61,3.17,3.1275,0
1,25,0,3.0,2.83,3.57,3.26,3.165,0
1,27,0,3.33,3.63,3.29,3.89,3.535,0
0,27,0,2.55,2.36,2.82,2.36,2.5225,1
1,26,0,2.76,2.86,2.57,2.91,2.775,0
0,25,0,2.95,3.5,3.19,2.96,3.1500000000000004,1
1,30,0,2.45,3.11,2.98,2.32,2.7150000000000003,1
0,27,0,2.86,2.82,3.2,2.58,2.8649999999999998,1
1,24,0,3.52,3.48,3.77,3.52,3.5725,0
1,28,0,3.24,3.27,3.5,3.22,3.3075,0
1,23,0,3.19,3.29,2.77,2.86,3.0275,0
1,25,0,3.05,3.38,3.21,2.93,3.1425,0
1,23,0,2.29,2.89,2.48,3.14,2.7,0
1,24,0,2.9,2.89,3.25,3.13,3.0424999999999995,0
1,41,0,3.64,3.25,3.92,3.42,3.5575,0
1,24,0,2.57,2.17,2.91,1.91,2.39,1
1,25,0,3.26,3.06,3.27,3.52,3.2775,0
1,25,0,2.76,2.42,2.3,2.14,2.405,1
1,23,0,2.6,1.93,2.37,2.09,2.2475,0
0,27,0,2.88,2.59,2.82,3.05,2.835,1
1,24,0,3.05,3.23,3.42,3.43,3.2824999999999998,0
1,24,0,2.55,3.07,2.68,3.0,2.8249999999999997,0
1,24,0,3.0,2.78,3.18,2.5,2.8649999999999998,0
0,29,0,2.9,2.89,3.3,2.85,2.985,1
1,26,0,3.33,2.53,3.34,3.65,3.2125,0
1,24,0,2.17,2.66,2.86,2.86,2.6374999999999997,0
0,27,0,2.69,2.36,3.23,3.25,2.8825,1
1,32,0,2.48,2.95,2.84,2.5,2.6925,1
1,23,0,2.88,2.8,3.11,3.09,2.9699999999999998,0
0,26,0,2.1,2.5,3.02,2.85,2.6174999999999997,1
1,24,0,3.1,2.8,3.25,2.43,2.895,0
1,27,0,3.21,3.23,3.67,3.48,3.3975,0
1,23,0,2.76,3.18,3.06,2.88,2.9699999999999998,0
1,24,0,2.5,2.84,3.11,3.04,2.8724999999999996,0
1,24,0,3.17,2.7,3.23,2.41,2.8775,0
1,26,0,2.76,3.14,2.6,2.95,2.8625,0
1,42,0,3.05,2.35,3.39,2.5,2.8225000000000002,0
0,30,0,3.17,2.48,3.43,3.17,3.0625,1
0,29,0,3.5,3.3,3.7,3.29,3.4475,1
1,26,0,2.43,2.14,2.95,2.29,2.4525,0
0,23,0,2.5,2.67,2.84,2.5,2.6275,1
0,28,0,2.71,2.59,3.09,1.76,2.5375,1
1,23,0,3.26,3.27,3.13,3.17,3.2075,0
0,26,0,2.86,3.36,3.55,3.38,3.2874999999999996,1
1,25,0,3.33,2.48,3.73,3.52,3.265,0
1,23,0,2.9,2.98,2.39,2.91,2.795,0
0,26,0,2.93,2.25,2.66,2.45,2.5725,1
0,26,0,1.67,2.1,1.5,0.73,1.5,1
1,26,0,2.9,3.55,3.38,3.54,3.3424999999999994,0
1,23,0,3.05,3.19,3.52,3.57,3.3325,0
1,27,0,3.43,3.56,3.55,3.67,3.5524999999999998,0
1,23,0,1.79,2.24,2.02,2.45,2.125,0
0,24,0,2.1,2.67,3.05,2.17,2.4974999999999996,1
1,26,0,3.33,2.6,3.3,2.68,2.9775,0
0,25,0,2.24,2.03,1.74,1.95,1.99,1
0,25,0,2.33,2.65,3.04,2.38,2.5999999999999996,1
1,24,0,3.26,3.38,3.06,3.68,3.3449999999999998,0
0,27,0,3.24,3.58,3.25,3.43,3.375,1
1,26,0,2.67,2.92,3.56,3.17,3.08,0
1,27,0,2.86,2.86,2.45,1.86,2.5075,1
1,27,0,3.12,3.1,2.73,2.8,2.9375,0
0,25,0,2.71,3.16,2.44,2.91,2.805,0
1,29,0,2.76,2.95,2.43,2.27,2.6025,1
1,24,0,2.4,2.57,2.3,2.82,2.5225,0
1,26,0,2.62,3.02,2.52,2.91,2.7675,1
1,27,0,2.86,2.41,2.55,3.0,2.705,0
0,26,0,2.31,2.77,2.64,2.82,2.6350000000000002,1
1,27,0,3.31,3.6,3.67,3.57,3.5375,0
0,27,0,2.26,1.86,0.32,0.0,1.11,1
1,47,0,3.21,2.85,3.55,2.98,3.1475,1
0,29,0,2.67,2.2,1.45,3.0,2.33,1
1,23,0,3.29,3.71,3.52,3.52,3.51,0
1,23,0,2.57,3.02,3.13,3.25,2.9924999999999997,0
1,24,0,3.07,3.21,2.94,3.36,3.1449999999999996,0
0,31,0,2.71,3.0,2.65,2.27,2.6574999999999998,1
